Cabina Temp °C / Cabina Temp °F | Ambiente Temp °C / Ambiente Temp °F | Hora
26.1 / 79.0 | 25.0 / 79.0 | 17:47:38
26.1 / 79.0 | 25.0 / 79.0 | 17:47:58
26.1 / 79.0 | 25.0 / 79.0 | 17:48:19
26.1 / 79.0 | 25.0 / 79.0 | 17:48:35
26.1 / 79.0 | 25.1 / 79.0 | 17:49:01
26.1 / 79.0 | 25.0 / 79.0 | 17:49:17
26.1 / 79.0 | 25.1 / 79.0 | 17:49:37
26.1 / 79.0 | 25.1 / 79.0 | 17:49:53
26.2 / 79.2 | 25.1 / 79.2 | 17:50:09
26.2 / 79.2 | 25.1 / 79.2 | 17:50:35
26.2 / 79.2 | 25.0 / 79.2 | 17:50:50
26.2 / 79.2 | 25.1 / 79.2 | 17:51:06
26.2 / 79.2 | 25.1 / 79.2 | 17:51:22
26.2 / 79.2 | 25.1 / 79.2 | 17:51:38
26.2 / 79.2 | 25.1 / 79.2 | 17:51:56
26.2 / 79.2 | 25.1 / 79.2 | 17:52:11
26.2 / 79.2 | 25.1 / 79.2 | 17:52:27
26.2 / 79.2 | 25.1 / 79.2 | 17:52:43
26.2 / 79.2 | 25.1 / 79.2 | 17:52:59
26.2 / 79.2 | 25.1 / 79.2 | 17:53:14
26.2 / 79.2 | 25.1 / 79.2 | 17:53:30
26.2 / 79.2 | 25.1 / 79.2 | 17:53:48
26.2 / 79.2 | 25.1 / 79.2 | 17:54:04
26.2 / 79.2 | 25.1 / 79.2 | 17:54:19
26.2 / 79.2 | 25.1 / 79.2 | 17:54:38
26.2 / 79.2 | 25.1 / 79.2 | 17:54:53
26.2 / 79.2 | 25.1 / 79.2 | 17:55:19
26.2 / 79.2 | 25.1 / 79.2 | 17:55:35
26.2 / 79.2 | 25.1 / 79.2 | 17:55:53
26.2 / 79.2 | 25.1 / 79.2 | 17:56:09
26.2 / 79.2 | 25.1 / 79.2 | 17:56:29
26.2 / 79.2 | 25.1 / 79.2 | 17:56:52
26.2 / 79.2 | 25.1 / 79.2 | 17:57:11
26.2 / 79.2 | 25.1 / 79.2 | 17:57:26
26.2 / 79.2 | 25.1 / 79.2 | 17:57:45
26.2 / 79.2 | 25.1 / 79.2 | 17:58:00
26.2 / 79.2 | 25.1 / 79.2 | 17:58:18
26.2 / 79.2 | 25.1 / 79.2 | 17:58:39
26.2 / 79.2 | 25.1 / 79.2 | 17:59:00
26.2 / 79.2 | 25.1 / 79.2 | 17:59:18
26.2 / 79.2 | 25.1 / 79.2 | 17:59:37
26.2 / 79.2 | 25.1 / 79.2 | 17:59:52
26.2 / 79.2 | 25.1 / 79.2 | 18:00:08
26.2 / 79.2 | 25.1 / 79.2 | 18:00:26
26.2 / 79.2 | 25.1 / 79.2 | 18:00:42
26.2 / 79.2 | 25.1 / 79.2 | 18:01:00
26.2 / 79.2 | 25.1 / 79.2 | 18:01:31
26.2 / 79.2 | 25.1 / 79.2 | 18:01:47
26.2 / 79.2 | 25.1 / 79.2 | 18:02:05
26.2 / 79.2 | 25.1 / 79.2 | 18:02:23
26.2 / 79.2 | 25.1 / 79.2 | 18:02:39
26.2 / 79.2 | 25.1 / 79.2 | 18:02:57
26.2 / 79.2 | 25.1 / 79.2 | 18:03:18
26.2 / 79.2 | 25.1 / 79.2 | 18:03:34
26.2 / 79.2 | 25.1 / 79.2 | 18:03:50
26.2 / 79.2 | 25.1 / 79.2 | 18:04:06
26.2 / 79.2 | 25.1 / 79.2 | 18:04:24
26.2 / 79.2 | 25.2 / 79.2 | 18:04:40
26.2 / 79.2 | 25.2 / 79.2 | 18:04:58
26.2 / 79.2 | 25.2 / 79.2 | 18:05:14
26.3 / 79.3 | 25.2 / 79.3 | 18:05:29
26.2 / 79.2 | 25.2 / 79.2 | 18:05:50
26.2 / 79.2 | 25.2 / 79.2 | 18:06:06
26.3 / 79.3 | 25.3 / 79.3 | 18:06:32
26.3 / 79.3 | 25.2 / 79.3 | 18:06:47
26.3 / 79.3 | 25.3 / 79.3 | 18:07:03
26.3 / 79.3 | 25.3 / 79.3 | 18:07:21
26.3 / 79.3 | 25.3 / 79.3 | 18:07:39
26.3 / 79.3 | 25.3 / 79.3 | 18:07:55
26.3 / 79.3 | 25.3 / 79.3 | 18:08:11
26.3 / 79.3 | 25.3 / 79.3 | 18:08:26
26.3 / 79.3 | 25.3 / 79.3 | 18:08:42
26.3 / 79.3 | 25.3 / 79.3 | 18:09:00
26.3 / 79.3 | 25.3 / 79.3 | 18:09:16
26.4 / 79.5 | 25.3 / 79.5 | 18:09:37
26.4 / 79.5 | 25.4 / 79.5 | 18:09:58
26.4 / 79.5 | 25.4 / 79.5 | 18:10:14
26.4 / 79.5 | 25.3 / 79.5 | 18:10:32
26.3 / 79.3 | 25.3 / 79.3 | 18:10:48
26.4 / 79.5 | 25.3 / 79.5 | 18:11:04
26.4 / 79.5 | 25.3 / 79.5 | 18:11:22
26.4 / 79.5 | 25.3 / 79.5 | 18:11:37
26.4 / 79.5 | 25.3 / 79.5 | 18:11:53
26.4 / 79.5 | 25.3 / 79.5 | 18:12:09
26.4 / 79.5 | 25.3 / 79.5 | 18:12:24
26.4 / 79.5 | 25.3 / 79.5 | 18:12:45
26.4 / 79.5 | 25.3 / 79.5 | 18:13:01
26.3 / 79.3 | 25.3 / 79.3 | 18:13:19
26.4 / 79.5 | 25.3 / 79.5 | 18:13:35
26.4 / 79.5 | 25.3 / 79.5 | 18:13:50
26.3 / 79.3 | 25.3 / 79.3 | 18:14:08
26.3 / 79.3 | 25.3 / 79.3 | 18:14:24
26.3 / 79.3 | 25.3 / 79.3 | 18:14:40
26.3 / 79.3 | 25.3 / 79.3 | 18:15:01
26.3 / 79.3 | 25.2 / 79.3 | 18:15:25
26.3 / 79.3 | 25.2 / 79.3 | 18:15:40
26.3 / 79.3 | 25.2 / 79.3 | 18:16:04
26.3 / 79.3 | 25.2 / 79.3 | 18:16:26
26.3 / 79.3 | 25.2 / 79.3 | 18:16:42
26.3 / 79.3 | 25.2 / 79.3 | 18:17:03
26.3 / 79.3 | 25.2 / 79.3 | 18:17:19
26.3 / 79.3 | 25.2 / 79.3 | 18:17:34
26.3 / 79.3 | 25.2 / 79.3 | 18:17:55
26.3 / 79.3 | 25.2 / 79.3 | 18:18:13
26.3 / 79.3 | 25.2 / 79.3 | 18:18:31
26.3 / 79.3 | 25.2 / 79.3 | 18:18:47
26.3 / 79.3 | 25.2 / 79.3 | 18:19:05
26.2 / 79.2 | 25.2 / 79.2 | 18:19:26
26.2 / 79.2 | 25.2 / 79.2 | 18:19:42
26.3 / 79.3 | 25.2 / 79.3 | 18:20:00
26.3 / 79.3 | 25.2 / 79.3 | 18:20:16
26.3 / 79.3 | 25.2 / 79.3 | 18:20:32
26.3 / 79.3 | 25.2 / 79.3 | 18:20:47
26.3 / 79.3 | 25.2 / 79.3 | 18:21:11
26.3 / 79.3 | 25.2 / 79.3 | 18:21:36
26.3 / 79.3 | 25.2 / 79.3 | 18:21:52
26.3 / 79.3 | 25.3 / 79.3 | 18:22:13
26.3 / 79.3 | 25.2 / 79.3 | 18:22:33
26.3 / 79.3 | 25.3 / 79.3 | 18:22:49
26.3 / 79.3 | 25.3 / 79.3 | 18:23:05
26.3 / 79.3 | 25.2 / 79.3 | 18:23:31
26.3 / 79.3 | 25.2 / 79.3 | 18:23:49
26.3 / 79.3 | 25.3 / 79.3 | 18:24:04
26.3 / 79.3 | 25.3 / 79.3 | 18:24:20
26.3 / 79.3 | 25.3 / 79.3 | 18:24:41
26.3 / 79.3 | 25.3 / 79.3 | 18:25:04
26.4 / 79.5 | 25.3 / 79.5 | 18:25:22
26.4 / 79.5 | 25.2 / 79.5 | 18:25:46
26.4 / 79.5 | 25.3 / 79.5 | 18:26:07
26.4 / 79.5 | 25.3 / 79.5 | 18:26:25
26.3 / 79.3 | 25.3 / 79.3 | 18:26:43
26.3 / 79.3 | 25.3 / 79.3 | 18:27:04
26.4 / 79.5 | 25.3 / 79.5 | 18:27:25
26.3 / 79.3 | 25.3 / 79.3 | 18:27:43
26.4 / 79.5 | 25.2 / 79.5 | 18:27:59
26.3 / 79.3 | 25.3 / 79.3 | 18:28:17
26.4 / 79.5 | 25.2 / 79.5 | 18:28:41
26.4 / 79.5 | 25.3 / 79.5 | 18:28:57
26.4 / 79.5 | 25.3 / 79.5 | 18:29:28
26.4 / 79.5 | 25.3 / 79.5 | 18:29:44
26.4 / 79.5 | 25.3 / 79.5 | 18:30:00
26.4 / 79.5 | 25.3 / 79.5 | 18:30:18
26.3 / 79.3 | 25.3 / 79.3 | 18:30:34
26.4 / 79.5 | 25.3 / 79.5 | 18:30:50
26.4 / 79.5 | 25.3 / 79.5 | 18:31:12
26.4 / 79.5 | 25.3 / 79.5 | 18:31:33
26.4 / 79.5 | 25.3 / 79.5 | 18:31:49
26.4 / 79.5 | 25.3 / 79.5 | 18:32:07
26.4 / 79.5 | 25.3 / 79.5 | 18:32:33
26.4 / 79.5 | 25.3 / 79.5 | 18:32:54
26.4 / 79.5 | 25.3 / 79.5 | 18:33:12
26.4 / 79.5 | 25.3 / 79.5 | 18:33:37
26.4 / 79.5 | 25.3 / 79.5 | 18:34:01
26.4 / 79.5 | 25.3 / 79.5 | 18:34:19
26.4 / 79.5 | 25.4 / 79.5 | 18:34:35
26.4 / 79.5 | 25.3 / 79.5 | 18:34:56
26.4 / 79.5 | 25.3 / 79.5 | 18:35:11
26.4 / 79.5 | 25.3 / 79.5 | 18:35:29
26.4 / 79.5 | 25.3 / 79.5 | 18:35:48
26.4 / 79.5 | 25.3 / 79.5 | 18:36:03
26.4 / 79.5 | 25.3 / 79.5 | 18:36:19
26.4 / 79.5 | 25.3 / 79.5 | 18:36:35
26.4 / 79.5 | 25.3 / 79.5 | 18:36:56
26.4 / 79.5 | 25.3 / 79.5 | 18:37:14
26.4 / 79.5 | 25.3 / 79.5 | 18:37:30
26.4 / 79.5 | 25.3 / 79.5 | 18:37:45
26.4 / 79.5 | 25.3 / 79.5 | 18:38:01
26.4 / 79.5 | 25.3 / 79.5 | 18:38:17
26.4 / 79.5 | 25.3 / 79.5 | 18:38:33
26.4 / 79.5 | 25.3 / 79.5 | 18:38:48
26.4 / 79.5 | 25.3 / 79.5 | 18:39:04
26.4 / 79.5 | 25.3 / 79.5 | 18:39:20
26.3 / 79.3 | 25.2 / 79.3 | 18:39:46
26.3 / 79.3 | 25.3 / 79.3 | 18:40:06
